CPRO,CGEN,CRAC,CJOB,CQUI,TEIN,TAIN,TSII,TOIN,FEDU,FVTP,FCRA,FTAP,LHO1,LHO2,LHO3,LHO4,LCRE,LSAV,LWDA,PPO1,PPO2,PPO3,PPO4,PPO5,ARO1,ARO2,ARO3,ARO4,ARO5
5,1,1,2,2,54,0,40,14,2,2,1,2,,,,1,,20,,5,2,2,2,2,2,1,1,2,3
5,2,1,3,1,133,20,88,25,1,1,1,2,,,,1,,30,,3,3,2,2,3,2,1,1,2,2
5,1,2,1,5,16,10,0,6,0,1,1,2,1,,,,,,,2,1,2,1,3,2,3,1,1,2
5,2,2,1,3,27,12,0,15,0,1,1,2,,1,,,,,,5,4,2,2,3,3,1,1,3,1
5,1,2,1,3,45,33,0,12,0,1,2,1,,1,,,9,,180,2,2,1,1,2,1,1,1,1,1
5,1,2,1,3,50,36,8,6,0,1,1,,,1,,,,,,,,1,1,1,,,,,2
5,1,1,1,2,63,38,15,10,2,2,1,1,,,,1,,,180,2,3,1,1,1,1,1,1,1,1
5,1,2,1,3,50,30,20,0,0,1,1,1,,,,1,,10,,2,1,2,3,2,3,3,1,3,3
5,1,2,2,3,25,23,0,2,0,1,1,2,,1,,,,10,,4,2,2,2,1,3,1,1,3,3
5,2,1,2,1,105,55,40,10,3,2,2,1,,,,1,10,10,,3,4,2,1,3,2,2,1,3,3
5,2,1,1,4,20,20,0,0,0,1,1,1,,1,,,,,,5,2,2,2,1,3,1,1,2,2
5,2,2,1,4,24,24,0,0,0,1,1,,,1,,,,,300,,,1,,,,,,,
5,1,2,3,3,26,26,0,0,0,1,1,1,,1,,,,,,5,5,,1,2,1,1,1,2,1
5,2,2,1,2,30,15,15,0,2,2,1,2,,,,1,,,,5,5,1,2,2,1,1,1,2,2
5,1,1,1,1,103,53,40,10,3,2,1,2,,,,,,,300,5,5,1,,,,,,,
5,1,2,1,2,54,29,15,10,2,2,1,2,,,1,,,,300,4,5,1,1,2,1,1,1,1,1
5,1,2,2,1,92,45,35,12,2,2,1,,,,,1,,,,,,,3,3,1,1,1,3,3
5,1,1,3,2,43,28,15,0,2,2,1,,,,,1,,2,,,,1,2,3,1,1,1,2,1
5,1,1,3,2,44,31,0,13,1,1,1,,,,1,,,,,,,,1,,1,1,1,1,3
5,2,2,2,3,39,16,15,8,1,1,1,2,,1,,,,10,,3,2,2,1,3,3,2,1,2,3
5,1,2,1,3,22,20,2,0,1,1,1,,,1,,,,,,,,,1,1,,1,1,1,
5,1,2,1,3,28,28,,0,1,1,1,2,,1,,,,,300,5,5,1,,,,,,,
5,1,2,1,2,65,25,15,25,1,1,1,,,,1,,,,,,,,,,,,,,
5,1,2,1,3,45,45,0,0,2,2,1,,,1,,,,,,,,,,1,,,,,1
5,1,2,1,4,24,24,0,0,0,1,,2,1,,,,1,,300,5,4,1,,,,,,,
5,1,2,1,5,32,24,0,8,0,1,1,1,1,,,,,,300,,,4,1,1,,,1,1,1
5,1,2,1,2,45,27,0,18,2,2,1,2,,,,1,,,300,5,2,1,1,2,1,1,1,1,1
5,1,2,1,3,36,31,0,5,0,1,1,2,,1,,,,,300,5,5,1,,,,,,,
5,2,2,1,3,40,0,0,40,0,1,1,1,,1,,,,,,4,2,2,,2,2,1,1,,
5,1,1,1,3,40,5,20,15,1,1,1,2,,,,1,,,,4,1,2,,2,2,1,1,,
5,1,1,2,1,120,0,35,85,3,2,1,2,,,,1,,20,,3,2,2,,,2,2,1,,1
5,1,1,2,2,29,29,0,0,2,2,1,,,,,1,,,,,,,,,,,,,
5,1,1,2,2,37,37,0,0,1,1,1,,,,,1,,,,,,,,,,,,,
5,2,2,3,2,59,33,26,0,2,2,1,,,,1,,,,,,,,,,,,,,
5,1,2,1,5,32,21,3,8,0,1,1,2,1,,,,,,300,5,4,1,,,,,,,
5,1,1,3,3,42,35,0,7,1,1,1,,1,,,,,,,,,,,,1,1,1,1,1
5,1,2,1,3,23,23,0,0,1,1,1,2,1,,,,,,80,2,1,2,1,2,2,1,1,1,2
5,2,2,1,3,21,21,0,0,1,1,1,2,1,,,,,,80,2,1,2,1,2,2,2,2,1,2
3,2,2,1,3,39,39,0,0,0,1,2,1,,1,,,10,,80,1,2,2,,1,2,,,,2
3,2,2,,3,30,30,0,0,0,1,1,1,1,,,,,,40,,,2,1,1,2,1,1,1,2
3,1,2,1,3,33,33,0,0,0,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
3,2,2,1,3,35,30,0,5,0,1,1,1,,,1,,,,180,2,2,1,1,1,1,1,1,1,1
3,1,1,1,3,38,33,5,0,1,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
3,1,2,1,3,40,32,0,8,0,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
3,2,2,2,2,24,0,15,9,1,1,1,,,,1,,,,,,,,,,1,1,1,1,
3,1,1,2,2,69,30,30,9,2,2,1,,,,,1,,,,,,,,,1,1,1,,
3,1,2,3,3,23,23,0,0,1,1,1,,,1,,,,,,,,,,,1,1,1,,1
3,1,2,1,3,40,35,0,5,1,1,1,1,,,1,,,,180,2,2,1,1,1,1,1,1,1,1
3,1,2,1,3,57,47,0,10,1,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
3,2,2,1,3,30,30,0,0,0,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
3,1,2,1,3,29,20,0,9,0,1,1,1,,1,,,,,180,2,3,1,1,2,1,1,1,1,1
3,2,2,1,3,40,30,10,0,0,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
3,2,1,1,3,37,37,0,0,1,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
3,1,1,1,3,40,35,5,0,1,1,1,1,,1,,,,,180,2,2,1,1,1,1,1,1,1,1
3,1,2,1,3,50,34,8,8,1,1,1,1,,1,,,,,180,2,3,1,1,1,1,1,1,1,1
3,1,1,1,3,37,31,6,0,1,1,1,1,,,1,,,,180,2,2,1,1,1,1,1,1,1,1
3,1,2,2,3,26,26,0,0,0,1,1,,1,,,,,,,,,,,,1,1,1,,1
3,1,1,1,3,33,24,9,0,0,1,1,1,,1,,,,,180,2,3,1,1,2,1,1,1,1,1
3,1,1,2,2,70,35,10,25,2,2,1,,,,,1,,,,,,,,,,,,,
3,1,2,3,3,28,28,0,0,0,1,1,,,1,,,,,,3,,,,,,,,,
3,1,1,2,2,55,0,15,40,2,2,2,1,,,1,,20,,,4,2,3,,,2,,1,,
3,2,2,1,3,50,17,13,20,0,1,1,1,,1,,,,,,3,4,2,,,2,1,1,2,
3,1,2,2,3,28,0,7,21,0,1,1,2,,1,,,,10,365,4,3,2,2,2,,1,1,,
3,1,1,2,3,24,0,0,24,0,1,1,2,,1,,,,20,,5,2,3,,2,2,1,1,,2
3,1,1,2,5,22,15,0,7,0,1,2,1,1,,,,10,,,2,1,2,,2,2,1,1,,
3,2,1,1,4,35,35,0,0,0,1,1,1,,1,,,,,,3,1,2,,,2,1,1,2,
3,1,1,2,5,24,0,8,16,0,1,1,2,1,,,,,10,,5,3,2,2,2,2,1,1,,2
3,1,2,1,5,14,0,10,4,0,1,1,1,1,,,,,5,,2,3,2,2,,,1,1,2,
3,1,1,3,3,39,17,14,8,0,1,1,1,,1,,1,,5,,5,2,2,2,,,1,1,,2
3,1,1,,2,48,39,0,9,2,2,1,,,,,1,,,,,,,,,,,,,
3,2,1,1,5,13,13,0,0,2,2,1,2,1,,,,,,,,,4,,,,,,,
3,1,2,1,3,44,19,15,10,1,1,1,1,,1,,,,,180,1,1,1,1,1,1,1,1,2,2
3,1,2,1,3,16,0,10,6,0,1,1,1,,,,1,,,,4,4,2,,,2,1,1,,2
4,1,1,1,5,18,13,5,0,0,1,1,2,1,,,,,,320,,,2,1,1,2,1,1,1,1
4,1,1,1,5,20,18,2,0,0,1,2,2,1,,,,10,,320,3,,2,1,1,1,1,1,1,2
4,1,1,1,5,20,17,3,0,0,1,1,2,1,,,,,,320,,,2,1,2,2,1,1,1,1
4,1,1,1,4,19,17,2,0,0,1,1,,1,,,,,,,,,5,1,1,1,1,1,1,1
4,1,1,3,3,30,25,0,5,0,1,1,2,,1,,,,,345,2,4,4,1,1,1,2,1,1,1
4,1,1,3,3,38,33,3,2,0,1,1,2,,1,,,,,350,2,4,4,2,2,1,2,1,1,1
4,1,1,1,3,40,26,5,9,1,1,1,1,,1,,,,3,210,3,,2,1,3,3,3,2,3,2
4,1,1,1,3,42,36,6,0,0,1,1,2,,1,,,,,300,0,0,2,3,1,1,3,1,1,1
4,1,2,1,2,115,42,28,45,1,1,1,2,,,,1,,5,320,,,3,1,2,3,1,1,2,2
4,1,2,1,2,86,30,30,26,0,1,1,2,,,,1,,,300,,,2,1,,3,1,1,1,1
4,1,2,1,3,40,30,10,0,0,1,1,2,,1,,,,,370,2,1,2,1,3,1,1,1,3,3
4,1,2,1,4,23,23,0,0,1,1,2,1,,1,,,7,,200,5,4,2,3,2,1,1,1,3,3
4,1,1,3,3,32,25,7,0,0,1,1,,,1,,,,,,,,,3,3,1,1,1,3,3
4,1,1,1,4,26,23,3,0,0,1,1,1,,1,,,,,200,3,4,,,,,,,,
4,1,2,1,4,25,20,0,5,0,1,1,1,1,,,,,,200,5,4,5,1,3,1,1,1,1,1
4,1,1,3,3,38,19,0,19,0,1,1,1,,1,,,,,280,3,3,5,1,3,1,1,1,3,3
